transaction_id,customer_id,timestamp_seconds,hour_of_day,day_of_week,is_weekend,is_night,amount,avg_amount_30d,amount_to_avg_ratio,customer_age,customer_tenure_days,account_balance,income_band,merchant_category,merchant_id,transaction_type,card_present,device_type,num_transactions_last_1h,num_transactions_last_24h,minutes_since_last_transaction,distance_from_home_km,distance_from_last_transaction_km,is_foreign_transaction,ip_address_risk_score,failed_pin_attempts_24h,is_fraud
1,9903,1,0,0,0,1,247.04,72.79,3.394,67,255,2012.08,2,crypto_exchange,12348,contactless,1,android,0,2,1292.5,8.54,2.95,0,0.027,0,0
2,18168,60,0,0,0,1,12.12,15.1,0.803,77,3507,359.47,2,health,94352,swipe,1,web_desktop,0,1,34.5,18.98,0.21,0,0.187,0,0
3,19570,63,0,0,0,1,101.58,63.33,1.604,21,182,4061.54,5,money_transfer,52386,contactless,1,pos_terminal,0,2,423.5,2.72,8.03,0,0.006,0,0
4,45621,71,0,0,0,1,20.03,13.12,1.527,77,3264,143.68,4,entertainment,68532,manual_entry,0,web_mobile,1,9,243.2,8.46,26.81,0,0.457,0,0
5,13349,72,0,0,0,1,71.1,43.61,1.63,63,1427,2353.42,5,electronics,83115,chip,1,android,0,4,218.6,9.72,53.28,0,0.002,0,0
6,46998,74,0,0,0,1,16.64,20.12,0.827,67,1185,269.32,2,jewelry,13962,online,0,unknown,0,5,78.1,15.94,5.13,0,0.318,0,0
7,21839,81,0,0,0,1,44,42.22,1.042,18,1624,1645.25,2,crypto_exchange,64212,contactless,1,pos_terminal,0,4,69.5,14.3,4.29,0,0.251,0,0
8,23698,96,0,0,0,1,20.6,11.01,1.871,42,2200,473.85,2,gaming,77296,contactless,1,ios,0,4,68.5,26.18,22.15,0,0.186,0,0
9,41430,110,0,0,0,1,25.3,14.87,1.701,48,3238,492.76,4,money_transfer,72301,online,0,web_desktop,0,1,235.6,9.15,0.24,0,0.996,0,0
10,36283,129,0,0,0,1,21.78,28.92,0.753,51,3537,1251.31,1,online_retail,36050,atm_withdrawal,1,web_desktop,1,9,33.5,2.23,2.57,0,0.079,0,0
11,41201,134,0,0,0,1,19.99,15.39,1.299,60,224,836.78,1,money_transfer,54406,online,0,ios,0,5,165.2,14.3,0.76,0,0.05,0,0
